index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,average_price,center_price
4623,Dried Prunes,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,110.0,110.0,Other Dry Fruits,3.6,"Sweet with a deep taste and a sticky chewy texture, these dried prunes are not only fun to eat but they are also highly nutritious. It contains no pits and is ideal for cooking and snacking. These are naturally fat-free and high in potassium and fibre. It contains no added sugar and is gluten-free. It is heart healthy and contains no preservative. The pitted prunes are very healthy snacks. They are dried fruits.",110.0,-242.28573616403554
5056,Gulab Mix - Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,110.5,130.0,Mukhwas,,"Marudhar Gulab mix brings to you flavoursome mouth fresheners. It is very tasty and helps digestion. Gulab Mix is a sauf mixture that contains rose flavour. It is consumed after meals. It is flavourful and aromatic. It can be consumed by people of all age. It is a rich source of natural nutrients and anti-oxidants. It also helps reduce stomach acidity and gas. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",120.25,-232.03573616403554
5293,Apricots/Jardalu,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,181.7,300.0,Other Dry Fruits,,"Apricots are round and yellow, they look like a smaller version of a peach but share the tartness of purple plums.
They are extremely nutritious and have many health benefits, such as improved digestion and eye health.
Khumani or dried apricots are a house of sources that help in boosting eye, skin, and gut health.
They are full of antioxidants, are low in calories, and have many other benefits that you have to reap the benefits of this winter season.",240.85,-111.43573616403555
5330,Natural Pan Mukhwas - Digestive Aid,"Foodgrains, Oil & Masala",Dry Fruits,Praakritik,120.0,120.0,Mukhwas,5.0,Our Natural Pan Mukhwas has a unique sweet aroma and a distinctly refreshing taste. It is good for digestion and is a potent natural mouth freshner. It can help increase bile flow and supports good bacteria in your body. Have a spoon full after meals to feel reenergised and revitalised.,120.0,-232.28573616403554
5397,Dates/Kharjura - Layina,"Foodgrains, Oil & Masala",Dry Fruits,Lion,105.0,105.0,Other Dry Fruits,3.6,"Health benefits of dates are uncountable, as this fruit is affluent in natural fibres.
These natural products also contain oil, calcium, sulphur, iron, potassium, phosphorous, manganese, copper and magnesium which are advantageous for health.
Dates are even rich in several vitamins and minerals.
It is said that one date is a minimum requirement of a balanced and healthy diet.
It helps in fighting constipation, intestinal disorders, weight gain, heart problems.
The Health benefits of dates have made them the best nourishment for muscles development.
People consume dates in several ways, like mixing the paste of the dates with milk, yoghurt or with bread or butter to make the food tasty and healthy.
This paste is beneficial for both adults and children, especially during the time of recovery.
According to the modern medicine survey, it is known that dates are useful in preventing abdominal cancer.
It is also seen that many Muslims break their fast by eating dates and water according to their traditions.
Breaking fast with eating dates helps us to avoid overeating the food after the fast.
When the body absorbs the nutritional value of the dates, the feeling of hunger gets pacified.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",105.0,-247.28573616403554
5595,Burnt Garlic Cashews,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,392.0,392.0,Cashews,,"A lot of people approached us saying they wished to have cashews but they didn't enjoy the raw taste of it. So we took it upon us to give them what they wanted - a tasty way to enjoy the richness of cashews!

We tried to give something more premium to our customers and so we tried out Burnt Garlic! It turned out to be an even bigger hit, as people who found chillies too spicy found the exotic flavour of garlic perfectly mild! It also became one of our top-gifted items during Diwali...",392.0,39.71426383596446
5600,"Almond/Badam - Californian, Giri","Foodgrains, Oil & Masala",Dry Fruits,bb Popular,318.0,600.0,Almonds,4.0,"Almonds are light brown skinned, tough, edible seeds of the almond fruit.
They have a wealthy yet subtle bitter-sweet flavor.
These are assets of nutrients, especially protein, dietary fibre, mono-unsaturated fatty acids and B complex vitamins.
Also, it is wealthy in vitamin E and minerals such as potassium, calcium, manganese, zinc, iron and selenium.
Store in a cool, dry place in an airtight container and preferably refrigerate after opening 
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",459.0,106.71426383596446
5635,Dried Cranberries,"Foodgrains, Oil & Masala",Dry Fruits,True Elements,190.0,200.0,Other Dry Fruits,4.1,"True Elements Dried Cranberries are nutritious and packed with vitamins and antioxidants. They are ideal to combine in dessarts, salads, muffins, yogurts, smoothies, and cereals. These chewy dried cranberries also make a good addition to your salads. True Elements Dried Cranberries are red, flavorful and delicious, they way cranberries are meant to be. They dont contain a sugar coating making them very healthy.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",195.0,-157.28573616403554
5716,UAE Dates/Kharjura - Seeded,"Foodgrains, Oil & Masala",Dry Fruits,Falcon,145.0,145.0,Other Dry Fruits,3.4,"Selected Natural Dates with improved shelf life. This variety of date is soft, chewy and sweet making it an ideal snack for your little ones. Add them to your cakes or bake them into your bread. Dates are sure to turn your recipes into delectable delights. The benefits of dates are manifold relief from constipation and many other conditions.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",145.0,-207.28573616403554
5847,Classic Cranberries,"Foodgrains, Oil & Masala",Dry Fruits,Flyberry,249.0,249.0,Other Dry Fruits,4.2,"Many people considerÂ cranberriesÂ to be a superfood due to their high nutrient and antioxidant content. In fact, research has linked the nutrients inÂ cranberriesÂ to a lower risk of urinary tract infection (UTI), the prevention of certain types of cancer, improved immune function, and decreased blood pressure.",249.0,-103.28573616403554
5861,Caramel Almond With Sesame Seeds,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,160.0,160.0,Almonds,3.5,These Caramel almonds are just unbelievable. These whole almonds are roasted with a sweet caramel and sugar combination to give you a perfect crunchy treat.,160.0,-192.28573616403554
6123,Royal Kitty Mukhwas,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,136.0,160.0,Mukhwas,,"Its an after meal snacks or a digestive aid. The natural flavor menthol helps in killing bad breadth. Their unique taste, health properties and hygienic production and we also believe in maintaining a healthy relationship with our clients. 100% natural, immunity boosting & rich in anti oxidants. Helps in digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & tasty mukhwas mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",148.0,-204.28573616403554
6257,"Dates - Black, With Seeds","Foodgrains, Oil & Masala",Dry Fruits,bb Royal,225.0,300.0,Other Dry Fruits,3.7,"Black dates contain a high percentage of carbohydrates, protein, vitamins and dietary fibre. They contain elemental fluorine that is useful in protecting teeth against decay. These premium dates come in an attractive pack, keeping in mind all the hygienic precautions while packing. These dates are a rich source of Iron and Vitamin C. Have them on a daily basis to reap the fruits of good health and stay fit. Dates have amazing medicinal properties. They are rich in antioxidants. They maintain good overall body health and give vitality to all age groups of both sexes. Dates are free from cholesterol and have a low level of fats (0.2%) and sodium. Include dates in your diet to stay healthy and fit.",262.5,-89.78573616403554
6291,Cashew/Godambis - Green Chilli,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,400.0,400.0,Other Dry Fruits,4.0,"Roasted Cashews married to Green Chillies. Lip-smacking good! Ã‚Â Feel the heat & set your taste buds ablaze, with our spicy Green Chilli cashews. Tasty Organic cashews are mildly spiced with dried green chilli powder and salt to create this super tasty snack. Offered cashews are processed at our hygienically maintained production unit with the help of advanced machines. In addition, the offered chilli cashews are widely served as snacks with tea or coffee across India. These cashews are acknowledged for their features like crispiness, purity and long shelf life.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",400.0,47.71426383596446
6350,Apricots/Jardalu,"Foodgrains, Oil & Masala",Dry Fruits,Flyberry,249.0,249.0,Other Dry Fruits,2.7,"Like other fruits, the dietary fibre in apricots (one cup of apricots has 3 grams of fibre), increases metabolism, which improves digestion, prevents constipation and can help the body feel fuller, longer to aid in weight loss. Apricots are great sources of vitamins A and C, and also contain vitamin E and iron.",249.0,-103.28573616403554
6391,Dates/Kharjura - Desert King,"Foodgrains, Oil & Masala",Dry Fruits,Lion,123.0,123.0,Other Dry Fruits,4.1,"Lion Dates - Desert King is one of the healthy and nutritionally rich fruits enriched with natural taste, vitamins, and minerals.
The skin of the dried fruit is wrinkled and covered with a sticky, waxy film.
Served mainly as desserts, these date fruits are generally chopped into tiny slices and scattered across cakes and puddings to ameliorate their flavor.
Moreover, they are loaded with natural fibers and according to a modern medicine survey, they are useful in keeping abdominal cancer at bay.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",123.0,-229.28573616403554
6489,Watermelon Seeds/Kallangadi Bija,"Foodgrains, Oil & Masala",Dry Fruits,Grocery Farm,99.0,99.0,Other Dry Fruits,3.9,"These Watermelon seeds have minerals that have a beneficial effect on blood sugar level. Approximately 100 gram of watermelon seeds has 600 calories same as having 10 loaves of bread. Fat content in 100 gram of watermelon seeds is around 80% of the daily dietary requirement of fats. These seeds are superb sources of multivitamin B and can change some of the supplements. Vitamin B therein watermelon seeds include folate, niacin, riboflavin, thiamine, vitamin B6 and pantothenic acid.",99.0,-253.28573616403554
6501,Rasbhari Sonff,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,97.75,115.0,Mukhwas,5.0,"This Marudhar Rasbhari mouth freshener sonf is 100% natural, processed & packed under hygienic environment. it has a great taste and comes in 190 grams pack. This product is manufactured using hand-picked ingredients to ensure that there is no compromise in quality. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",106.375,-245.91073616403554
6744,Organic - Raisins/Ona Drakshi,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,54.0,56.0,Organic Dry Fruits,4.0,"Raisins or kismis are a wholesome addition to your diet. The organic kismis are a preserved and dried version of grapes. They are known to be extremely healthy for consumption on a daily basis. These dry fruits can give relief from constipation, anemia, acidosis and fever. BB Royal’s Organic Raisins/Kismis is premium dry fruit, packed with the goodness of nutrition. You can use them in salads, bakery and confectionary items, jams, jellies, puddings and a lot more sweet as well as savoury delicacies. Or you can consume them as it is! They are available in 100 gm and 200 gm packaging options.
BB Royal is a premium brand of organic staples by Big Basket. The entire range of products is sourced from the best of farms and producers to ensure high-quality standards. All BB Royal products are cleaned and packed in hygienic facilities in high quality food grade packaging. - There is a no questions asked return policy on all BB Royal products in a bid to provide you nothing but the best!",55.0,-297.28573616403554
7104,Pista - Roasted & Salted,"Foodgrains, Oil & Masala",Dry Fruits,Grocery Farm,200.0,200.0,Other Dry Fruits,4.1,"Pista is loaded with nutrients, low in calories, high in protein Pista or Pistachios are defined by their rich and nutty taste, which is further enhanced after roasting them and understanding your taste. BB Royal roasted and salted pista has been packaged exclusively for you. Its roasted and salted flavour makes it an ideal snack for guests and gifting purposes.",200.0,-152.28573616403554
7150,Certified Organic - Pumpkin Seeds/Kumbalakayi Bija,"Foodgrains, Oil & Masala",Dry Fruits,Nourish You,199.0,199.0,Other Dry Fruits,4.3,Nourish You Pumpkin Seeds is one of the on the go snacking range. Pumpkin Seeds is valued as source of minerals and zinc and who recomends their consumption as a good way to obtain these nutrients. Pumpkin seeds can also be salted or roasted while incorporating it in ones diet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/,199.0,-153.28573616403554
7377,Organic - Alfalfa Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Conscious Food,136.0,136.0,Other Dry Fruits,3.8,"These Alfalfa seeds are an incredible nutrient powerhouse. They can be sprouted for use in salads, sandwiches or made into a tea. They are a rich source of vitamin K and help in preventing bone disorders like osteoporosis. Alfalfa seeds are a good source of vitamin C and antioxidants and they contain phytoestrogens, which have shown potential in preventing breast cancer and menopausal symptoms.",136.0,-216.28573616403554
7452,Quinoa,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,152.0,190.0,Cereals & Millets,4.6,"Himalayan Natives 100% Natural Quinoa is farmed and harvested with the highest quality control standards to ensure purity & consistent quality. Quinoa is a gluten-free, whole-grain carbohydrate, as well as a whole protein since it contains all nine essential amino acids. It is also high in fibre, magnesium, B vitamins, iron, potassium, calcium, phosphorus, vitamin E, and various beneficial antioxidants. Quinoa also has a Low Glycemic Index, which is good for blood sugar control.",171.0,-181.28573616403554
7480,Satrangee Mix Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,110.5,130.0,Mukhwas,4.0,"It is a mixture of dry papaya, dry dates, aniseeds, sugar pills, totty fruity, mishri and sugar etc. Saunf with silver-coated balls. A good source of minerals like copper, iron, calcium, potassium and zinc. Good for digestion. It can also be used as an appetiser. It is a mixture type of supari, tasty mouth fresheners.",120.25,-232.03573616403554
7582,Dried Blackberries,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,392.0,392.0,Other Dry Fruits,4.2,"An all-time favourite of travellers, Dried Blackberries are known for their long life. And guess what, having just 1/4 cup of dried Blackberries will supply you one serving of fruits and vegetable equivalence. So you can be sure that you will never run out of the necessary nutrients in your busy life.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",392.0,39.71426383596446
7596,Certified Organic - Sunflower Seeds/Suryakanti Bija,"Foodgrains, Oil & Masala",Dry Fruits,Nourish You,99.0,99.0,Other Dry Fruits,4.2,"Nourish You Sunflower Seeds is one of the on the go snacking range brought to you by Nourish You. Sunflower Seeds has numerous health benefits; it reduces the risk of heart diseases, controls blood sugar level & helps prevent diabetes. Sunflower seeds can also be salted or roasted while incorporating it in ones diet.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",99.0,-253.28573616403554
7659,Superfood Mix,"Foodgrains, Oil & Masala",Dry Fruits,Nutraj,186.0,249.0,Other Dry Fruits,3.3,"Nutraj Superfood Mix includes an assortment of antioxidant-rich ingredients to cleanse your body and clear your mind. By combining Dried berries and dried seeds, this combination offers an ample supply of nutrients in one tasty trail mix. This wholesome medley combines Pumpkin seeds, Sunflowers seeds, flax seeds, Dried Cranberries and Dried Blueberries. The seeds pack extra energy and health benefits, making this mix a sure way to supercharge your day. Try Nutraj Super Food Mix to feel healthy with a wholesome snack and grab a bag of this restorative blend today!",217.5,-134.78573616403554
7833,Milky Gulab Supari,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,182.75,215.0,Mukhwas,4.5,"Marudhar Milky Gulab Supari is a Sweet Supari product with rose flavour. Refreshing and Flavorsome. 100% Natural Mukhwas Mouthfreshener, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",198.875,-153.41073616403554
8030,Signature Turkish Hazelnut,"Foodgrains, Oil & Masala",Dry Fruits,Nutraj,224.0,299.0,Other Dry Fruits,4.5,"Indulge in healthy snacking time by munching this Nutraj pack of Signature Turkish hazelnuts. These raw hazelnuts are a nutritional powerhouse and can be eaten whole, ground or made into oil or butter. Hazelnuts are good for the heart and have several cardiovascular benefits. Good for bones, these magnesium-rich nuts regulate calcium in body. Rich in Zinc, hazelnuts help the development of sexual hormones in the body. This packet of hazelnuts is super rich in disease-fighting antioxidants and has been Nitrogen flush packed for retaining freshness.",261.5,-90.78573616403554
